Name,SMILES,MW
CSHWQDPOILHKBI-UHFFFAOYSA-N,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,252.3148
CTJMNBROBOZHAP-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,317.3191
CULUWZNBISUWAS-UHFFFAOYSA-N,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,260.2518
CVQODEWAPZVVBU-UHFFFAOYSA-N,O=C(Oc1cc(C)cc(C)c1)NC,179.2182
CVRALZAYCYJELZ-UHFFFAOYSA-N,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,412.0646
CVUGPAFCQJIYDT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,354.4901
CWJSHJJYOPWUGX-UHFFFAOYSA-N,Clc1cc(NC(=O)OC(C)C)ccc1,213.6633
CWRYPZZKDGJXCA-UHFFFAOYSA-N,c12c3cccc1CCc2ccc3,154.211
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,252.272
CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c12c(cccc1)CCCC2,132.2048
CYFLXLSBHQBMFT-UHFFFAOYSA-N,S(=O)(=O)(Nc1oc(C)c(C)n1)c1ccc(N)cc1,267.302
CZGCEKJOLUNIFY-UHFFFAOYSA-N,Clc1ccc([N+](=O)[O-])cc1,157.5561
CZIHNRWJTSTCEX-UHFFFAOYSA-N,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,223.2738
CZMRCDWAGMRECN-UGDNZRGBSA-N,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,342.2992
CZPWVGJYEJSRLH-UHFFFAOYSA-N,n1cnccc1,80.089
DBABZHXKTCFAPX-UHFFFAOYSA-N,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,285.3574
DBPWSSGDRRHUNT-UHFFFAOYSA-N,O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,330.4662
DCAYPVUWAIABOU-UHFFFAOYSA-N,C(CCCCCCCC)CCCCCCC,226.4446
DCUJJWWUNKIJPH-UHFFFAOYSA-N,ClC(Cl)(Cl)c1nc(Cl)ccc1,230.9084
DDUHZTYCFQRHIY-UHFFFAOYSA-N,Clc1c(OC)cc(OC)c2C(=O)C3(C(=CC(=O)CC3C)OC)Oc12,352.7707
DEKWZWCFHUABHE-UHFFFAOYSA-N,Clc1ccc(C(CC(=O)C)c2c(=O)oc3c(c2O)cccc3)cc1,342.7781
DEWLEGDTCGBNGU-UHFFFAOYSA-N,ClCC(O)CCl,128.9858
DFBKLUNHFCTMDC-PICURKEMSA-N,ClC1(Cl)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2)Cl,380.9126
DFCAFRGABIXSDS-UHFFFAOYSA-N,S(C(=O)N(CC)C1CCCCC1)CC,215.353
DFOXKPDFWGNLJU-UHFFFAOYSA-N,OC(C(C)(C)C)C,102.176
DFPAKSUCGFBDDF-UHFFFAOYSA-N,O=C(N)c1cnccc1,122.1262
DFXQXFGFOLXAPO-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cc(C(=O)O)cc1,201.5659
DHKHKXVYLBGOIT-UHFFFAOYSA-N,O(C(OCC)C)CC,118.1754
DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,75.067
DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,86.1334
DJHHDLMTUOLVHY-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cccc3,321.9744
DJPZSBANTAQNFN-UHFFFAOYSA-N,O=C(OC1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,330.4662
DKMROQRQHGEIOW-UHFFFAOYSA-N,O=C(OCC)CCC(=O)OCC,174.1962
DLFVBJFMPXGRIB-UHFFFAOYSA-N,O=C(N)C,59.0676
DLKQHBOKULLWDQ-UHFFFAOYSA-N,Brc1c2c(ccc1)cccc2,207.0693
DLVAUVPZQHGFJC-UHFFFAOYSA-N,O=C(N(CC(=O)N)C)COC(=O)c1ccccc1,250.2536
DMDGGSIALPNSEE-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,331.2841
DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,98.1876
DNJIEGIFACGWOD-UHFFFAOYSA-N,SCC,62.1294
DOFZAZXDOSGAJZ-UHFFFAOYSA-N,S=P(SCCSCC)(OCC)OCC,274.3907
DOIRQSBPFJWKBE-UHFFFAOYSA-N,O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,278.3474
DOWJXOHBNXRUOD-UHFFFAOYSA-N,Cc1c2c(c3c(cc2)cccc3)ccc1,192.2598
DPJCXCZTLWNFOH-UHFFFAOYSA-N,O=[N+]([O-])c1c(N)cccc1,138.1256
DPSPPJIUMHPXMA-UHFFFAOYSA-N,Fc1cc2c(=O)c(C(=O)O)cn3C(C)CCc(c23)c1,261.2521
DQJCHOQLCLEDLL-UHFFFAOYSA-N,Cc1c2n3c(sc2ccc1)nnc3,189.2344
DQWPFSLDHJDLRL-UHFFFAOYSA-N,P(=O)(OCC)(OCC)OCC,182.1559
DQZCVNGCTZLGAQ-UHFFFAOYSA-N,O=C(N(C)C)NC1CCCCCCC1,198.3076
DRLFMBDRBRZALE-UHFFFAOYSA-N,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,232.2816
DRUIESSIVFYOMK-UHFFFAOYSA-N,ClC(Cl)(Cl)C#N,144.3877
