X,Y,Z,ESP,ESP2,ESP3
-11.1534407,-1.1151160,0.7779726,-0.0546892078,-1.4881690234,-34.3180247922
-11.2203149,-1.1448052,1.2038832,-0.0562333114,-1.5301862197,-35.2869652573
-11.2352205,-1.1560171,1.4449407,-0.0569258112,-1.5490300963,-35.7215157761
-11.2340725,-1.1551453,1.6957250,-0.0574969109,-1.5645705094,-36.0798865482
-11.2148358,-1.1405808,1.9583596,-0.0579447891,-1.5767578955,-36.3609346094
-11.1740340,-1.1095279,2.2362063,-0.0582593367,-1.5853171711,-36.5583163789
-11.1292919,-1.2992787,2.4429026,-0.0590178198,-1.6059565450,-37.0342720895
-11.1306358,-1.1040389,2.4429026,-0.0584646921,-1.5909051745,-36.6871789165
-11.0820516,-1.1806438,2.6272043,-0.0588541200,-1.6015020472,-36.9315488337
-11.0393828,-0.9226678,0.4148094,-0.0526192433,-1.4318424255,-33.0191013820
-11.1047534,-0.9084975,0.6414539,-0.0536217300,-1.4591214755,-33.6481718017
-11.1710726,-0.8569055,0.9826154,-0.0547371665,-1.4894740453,-34.3481193391
-11.1353894,-0.8542573,0.7960240,-0.0540736501,-1.4714188469,-33.9317561874
-11.2038826,-0.8820024,1.2138338,-0.0555205897,-1.5107920755,-34.8397252521
-11.2206894,-0.8948196,1.4539558,-0.0561792589,-1.5287153757,-35.2530467567
-11.2200775,-0.8943146,1.7046562,-0.0567167757,-1.5433419525,-35.5903439434
-11.1999542,-0.8787608,1.9681677,-0.0571222548,-1.5543755995,-35.8447861234
-11.1563273,-0.8447294,2.2485518,-0.0573728198,-1.5611938199,-36.0020181665
-11.1218847,-0.9084975,2.4429026,-0.0577868132,-1.5724591528,-36.2618031574
-11.0724055,-0.9298122,2.6340571,-0.0580119903,-1.5785865320,-36.4031040087
-11.0734283,-0.6831487,0.6452628,-0.0528879016,-1.4391529902,-33.1876871644
-11.1383238,-0.6059395,1.0174470,-0.0539083677,-1.4669212825,-33.8280397910
-11.1115425,-0.6584975,0.8198708,-0.0534525068,-1.4545166787,-33.5419825672
-11.1658977,-0.6018413,1.2367848,-0.0545205481,-1.4835795606,-34.2121891684
-11.1838626,-0.6157357,1.4768804,-0.0551663035,-1.5011514575,-34.6174071118
-11.1828534,-0.6148018,1.7285562,-0.0556722472,-1.5149188850,-34.9348918273
-11.1600787,-0.5966534,1.9947537,-0.0560232984,-1.5244714737,-35.1551799602
-11.1330258,-0.6584975,2.2508384,-0.0566094998,-1.5404228270,-35.5230272465
-11.1018010,-0.7190628,2.4429026,-0.0570419991,-1.5521917311,-35.7944248747
-11.0386492,-0.6723241,2.6576992,-0.0569449478,-1.5495508302,-35.7335241977
-10.9885107,-0.7071104,2.8270345,-0.0571442578,-1.5549743311,-35.8585932152
-10.9969250,-0.6127155,0.4367301,-0.0517002049,-1.4068341168,-32.4423955467
-11.0215072,-0.4171547,0.6674168,-0.0517872027,-1.4092014479,-32.4969875500
-11.0788431,-0.4360251,0.8913598,-0.0527101567,-1.4343163036,-33.0761504195
-11.1126848,-0.4084975,1.1346231,-0.0533269796,-1.4511009101,-33.4632129989
-11.1416006,-0.4084975,1.4906286,-0.0542196513,-1.4753917405,-34.0233733760
-11.1311017,-0.4084975,1.3003116,-0.0537618845,-1.4629352722,-33.7361201250
-11.1407828,-0.4084975,1.7426902,-0.0547143734,-1.4888538147,-34.3338164698
-11.1213237,-0.4084975,2.0049646,-0.0551188589,-1.4998604230,-34.5876351226
-11.1243063,-0.5442931,2.1929026,-0.0560121090,-1.5241669950,-35.1481585085
-11.0964671,-0.4084975,2.1929026,-0.0553228602,-1.5054115817,-34.7156480016
-11.0627611,-0.4305704,2.3925576,-0.0556207469,-1.5135174904,-34.9025748703
-10.9885107,-0.5803041,2.7710960,-0.0565243721,-1.5381063821,-35.4696087089
-11.0507816,-0.1787458,1.1567555,-0.0520918741,-1.4174919799,-32.6881719385
-11.0771917,-0.1866161,1.4100367,-0.0527974228,-1.4366909363,-33.1309108013
-11.1105083,-0.2804951,1.6317011,-0.0538213137,-1.4645524224,-33.7734125285
-11.0749382,-0.1584975,1.6495314,-0.0531194717,-1.4454543304,-33.3329996563
-11.0713932,-0.1855200,1.9090077,-0.0537207360,-1.4618155655,-33.7102990511
-11.0395109,-0.1750102,2.1594507,-0.0539456411,-1.4679355444,-33.8514292498
-10.9885107,-0.2912068,2.5601933,-0.0549022650,-1.4939666055,-34.4517203346
-10.9981819,-0.1312297,0.9347228,-0.0511039254,-1.3906085284,-32.0682242422
-10.9885107,-0.0386070,1.0627932,-0.0508929137,-1.3848666078,-31.9358122847
-10.9885107,-0.0162363,2.1482747,-0.0528800077,-1.4389381844,-33.1827336199
-10.9885107,-0.0761435,2.2752567,-0.0533899209,-1.4528136284,-33.5027092583
