Name,SMILES
GUGOEEXESWIERI-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cccc1
GWDYJKXSUSPLEA-UHFFFAOYSA-N,O=c1nc(c2ccccc2)oc2c1cccc2
GWOFUCIGLDBNKM-UHFFFAOYSA-N,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1
GWUSZQUVEVMBPI-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1
GXEKYRXVRROBEV-UHFFFAOYSA-N,O=C(O)C1C(C(=O)O)C2OC1CC2
GYFAGKUZYNFMBN-UHFFFAOYSA-N,c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6
GYMFBYTZOGMSQJ-UHFFFAOYSA-N,Cc1cc2c(cc3c(c2)cccc3)cc1
GYTMHWVFKHLDEA-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1
HAPOJKSPCGLOOD-UHFFFAOYSA-N,c12c(cc3c(c4c(cccc4)C3)c1)cccc2
HAXBIWFMXWRORI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2
HCFSGRMEEXUOSS-UHFFFAOYSA-N,O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1
HDWIHXWEUNVBIY-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1
HDZGCSFEDULWCS-UHFFFAOYSA-N,N(N)C
HEZNVIYQEUHLNI-UHFFFAOYSA-N,S(CC)Cc1c(OC(=O)NC)cccc1
HFBWPRKWDIRYNX-UHFFFAOYSA-N,Clc1nc(N(CC)CC)nc(NCC)n1
HFHZKZSRXITVMK-UHFFFAOYSA-N,O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccc(O)cc1
HHMCAJWVGYGUEF-UHFFFAOYSA-N,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1
HHOSMYBYIHNXNO-UHFFFAOYSA-N,C(CCC(C)C)(C)(C)C
HJUFTIJOISQSKQ-UHFFFAOYSA-N,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1
HKMTVMBEALTRRR-UHFFFAOYSA-N,c12c(ccc3c4c(cccc4)Cc13)cccc2
HKOOXMFOFWEVGF-UHFFFAOYSA-N,N(N)c1ccccc1
HKPHPIREJKHECO-UHFFFAOYSA-N,ClCC(=O)N(COCCCC)c1c(CC)cccc1CC
HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(c1Cl)c1ccccc1
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,OCCCCCCCCCCCCCC
HMIBKHHNXANVHR-UHFFFAOYSA-N,S(C(=O)N(C)C)CCCCOc1ccccc1
HMSWAIKSFDFLKN-UHFFFAOYSA-N,C(CCCCCCCCCCCCC)CCCCCCCCCCCC
HNDVDQJCIGZPNO-YFKPBYRVSA-N,O=C(O)[C@@H](N)Cc1[nH]cnc1
HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1NCCC1
HOQADATXFBOEGG-UHFFFAOYSA-N,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C
HORNXRXVQWOLPJ-UHFFFAOYSA-N,Clc1cc(O)ccc1
HPQURZRDYMUHJI-UHFFFAOYSA-N,C(CCC1CCCC1)CC
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1
HPYNZHMRTTWQTB-UHFFFAOYSA-N,Cc1c(C)cccn1
HRBKVYFZANMGRE-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1
HRPVXLWXLXDGHG-UHFFFAOYSA-N,O=C(N)C=C
