StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
XEOQHVVLXIUVHB-UHFFFAOYSA-N,CC(C)C1CCC(C)CC1OC(=O)C(c1ccccc1)O,-0.613450986,290.403,99.5,330.017,-0.241537002,-0.250407068,-0.008870066,0.082953,0.073114,-0.009839,3.0256,3.8975,-0.35761,0.27806,-9.00E-05,0.35782,539.0507813,-1.57889,-2.569216,-0.559954,0.589694,-1.57889,47
XGISLVMWAFEKFQ-OCAPTIKFSA-N,O=[S]1CC[S](=O)CC1,-0.828414631,152.238,242.5,144.225,-0.089857988,-0.112606942,-0.022748954,-0.010909,-0.034661,-0.023752,0,0,-0.31614,0.30208,0.02393,0.31635,289.0453186,-1.716432,-1.920904,-0.858216,1.050153,0.383874,16
XGVHRUPAYMKJBO-UHFFFAOYSA-N,CCCCCC1(CCO)C(=O)NC(=S)NC1=O,-0.128941292,258.342,152.8,248.48,-0.236005375,-0.252406243,-0.016400867,-0.018742,-0.036877,-0.018135,5.1681,7.8792,-0.34406,0.23029,-0.04786,0.34427,478.2523499,-1.538612,-0.188996,-0.590897,0.632773,-3.106321,35
XHDCBMMILVHZTB-CYYJNZCTSA-N,Cc1cc(ccc1/N=N/c1ccc(cc1)N(c1ccccc1)c1ccccc1)N(=O)=O,-2.826812954,408.459,153.5,430.039,0.219486387,0.206335157,-0.013151229,0.53007,0.515068,-0.015002,9.858,12.2165,-0.31036,0.2325,-0.04565,0.31057,718.8907471,-1.023059,-2.656544,-0.511699,0.85359,-0.795691,51
XHKBEIYZVFBVAM-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)NO,-1,243.39,96.125,344.17,-0.191565743,-0.20126321,-0.009697467,0.1338,0.123862,-0.009938,3.0761,4.0076,-0.3761,0.28465,0.0065,0.37631,589.8914185,-0.963426,-3.118944,-0.566875,0.601036,-1.27583,46
XLWKIQKOAXZPLJ-UHFFFAOYSA-N,CC(=CC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C)C,-2.569157792,380.49,141,451.044,-0.057564106,-0.080413734,-0.022849628,0.30426,0.280196,-0.024064,5.0474,4.836,-0.29313,0.27186,-0.00629,0.29334,711.9914551,-1.22939,-2.209762,-0.615168,0.72317,-2.763773,56
XMHSYEXULJEECF-UHFFFAOYSA-N,COc1ccc(cc1)COC(=O)NC(=O)N,-2.505568561,224.216,180,236.038,-0.245136706,-0.259855716,-0.014719009,-0.090696,-0.107425,-0.016729,4.0523,5.1308,-0.33486,0.26455,-0.0136,0.33507,445.6871643,-2.029427,0.74218,-0.598949,0.745519,-3.162688,28
XMMRNCHTDONGRJ-UHFFFAOYSA-N,c1cc(ccc1C=CC(=O)O)[N+](=O)[O-],-2.299143214,193.159,285.5,127.136,-0.089226046,-0.103577685,-0.014351639,0.009516,-0.006437,-0.015953,3.309,4.2266,-0.39267,0.20896,-0.06919,0.39288,387.2012939,-2.105789,-0.233744,-0.567533,0.851604,-1.254185,21
XNCQWROGWIOIDE-UHFFFAOYSA-N,Cc1cc(cc(c1OCC(=O)Nc1ccccc1)Cl)Cl,-0.973099852,310.18,100.95,226.246,-0.088426965,-0.09933842,-0.010911455,0.092667,0.080484,-0.012183,3.7932,5.3983,-0.32656,0.24935,-0.0288,0.32677,518.5683594,-0.964272,-0.899395,-0.584342,0.586624,-1.557575,33
XPOFTPYDSZJRKX-VOVZHTNUSA-N,CC(=O)[C@@]12[C@@H](C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](C[C@]13C)O)O2,-1.866310262,344.451,241,397.104,-0.250944202,-0.271881343,-0.020937141,0.117333,0.096306,-0.021027,5.6322,5.5369,-0.35638,0.27737,-0.00078,0.35659,539.3796387,-2.195878,-2.712922,-0.634325,0.633026,-2.195878,53
XQQFQCNVJHSEHB-UHFFFAOYSA-N,Cc1ccc(cc1)S(=O)(=O)NNC(=O)C(c1ccccc1)(c1ccccc1)O,-1.457699002,396.467,210,405.611,-0.121554784,-0.140995446,-0.019440662,0.168895,0.14729,-0.021605,4.5775,6.5362,-0.35036,0.25269,-0.02546,0.35057,630.631958,-3.129771,-2.241119,-0.995186,2.511857,-1.612732,48
XRHGYUZYPHTUJZ-UHFFFAOYSA-N,c1cc(ccc1C(=O)O)Cl,-0.538348802,156.569,239,124.498,-0.118045921,-0.124511591,-0.006465671,-0.055531,-0.063861,-0.00833,1.3456,1.8972,-0.37189,0.23676,-0.04139,0.3721,314.2933044,-1.098006,0.094872,-0.570614,0.673226,-1.185057,15
XSTCQMIXQXXYCY-UHFFFAOYSA-N,CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(C(C)(C)O)OC2,-1.501169197,344.238,208,302.102,-0.768691893,-0.801275976,-0.032584083,-0.509135,-0.545196,-0.036061,6.398,11.6204,-0.38136,0.30334,0.02519,0.38157,521.3497925,-5.371864,-2.059829,-0.873762,1.621282,-2.141294,43
XUGISPSHIFXEHZ-VEVYEIKRSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C,-1.933182466,428.699,115,550.642,-0.28234828,-0.291324053,-0.008975773,0.316643,0.303257,-0.013386,1.4347,3.5111,-0.33819,0.30967,0.03152,0.3384,762.8999634,-1.103678,-5.944787,-0.60223,0.710448,-1.103678,79
XXVXIPPJGSLKSX-UHFFFAOYSA-N,C(CCCNC(=O)OCCCCO)CCNC(=O)OCCCCO,-0.809734245,348.44,104,415.525,-0.517359693,-0.540654474,-0.023294781,-0.133878,-0.161364,-0.027486,6.6382,7.6962,-0.36457,0.30361,0.02546,0.36478,606.7631836,-3.426076,-1.094557,-0.640538,0.711153,-4.386135,56
XYPACLZTPMHPLB-UHFFFAOYSA-N,Cc1ccc2c(ccc(c2n1)O)[N+](=O)[O-],-1.910350113,204.185,134.25,146.447,-0.018181675,-0.028777069,-0.010595393,0.100165,0.08747,-0.012695,5.4325,7.0414,-0.35095,0.2161,-0.06205,0.35116,380.0731201,-1.4822,-0.74716,-0.533554,0.881582,-0.972944,23
