StdInChIKey,SMILES,LogS,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
OROGSEYTTFOCAN-DNJOTXNNSA-N,CN1CC[C@]23[C@H]4C=C[C@@H]([C@@H]3Oc3c(ccc(C[C@@H]14)c23)OC)O,0.222761727,318.8418039,299.37,155,-0.124698302,-0.141079967,-0.016381665,0.166076938,0.148450311,-0.017626627,4.874219655,6.604647229,-0.306934404,0.281957118,0.003807118,0.307144404,496.0627367,-1.375682384,-1.716504884,-0.585239673,0.339078749,-1.729313018,43
ORQISITYMWGFKX-UHFFFAOYSA-N,CCC1(CCO)C(=O)NC(=S)NC1=O,-0.564126195,203.6172632,216.261,144,-0.213094121,-0.227801743,-0.014707621,-0.067684152,-0.085402159,-0.017718007,4.360050376,6.590352333,-0.34493068,0.229497024,-0.048652976,0.34514068,386.6149527,-1.540386167,0.594765014,-0.581858725,0.629322321,-3.092361877,26
ORZXJYFZPFFYJC-UHFFFAOYSA-N,CN(C)c1ccc(cc1)C(C#N)(c1ccccc1)c1ccc(cc1)N(C)C,-2.508637242,428.3174968,355.483,183.5,0.17291051,0.155971569,-0.016938941,0.514064028,0.496875436,-0.017188591,5.130563847,6.63993303,-0.300716216,0.286807931,0.008657931,0.300926216,649.1195426,0,-3.157546561,-0.333281601,0.248507478,-0.849660299,52
OSBLXHNHXUZTPI-UHFFFAOYSA-N,c1ccc2c(c1)c(=O)nc(c1ccccc1S(=O)(=O)N)[nH]2,-2.612749267,257.452486,301.326,283,-0.065501809,-0.095368828,-0.029867019,0.107013998,0.075612215,-0.031401782,5.160396757,10.14388967,-0.341677204,0.232904709,-0.045245291,0.341887204,486.7650553,-2.548002802,-0.411321745,-0.997085144,2.545485988,-1.892951125,32
OSCAUVQGTDAMQI-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(C(=O)NNS(=O)(=O)c1ccccc1)O,-0.71333159,358.4800696,382.44,178.5,-0.100342369,-0.121005193,-0.020662824,0.164566667,0.140827219,-0.023739448,6.592718197,8.681424575,-0.350987433,0.245617105,-0.032532895,0.351197433,617.2074119,-3.094978418,-1.84013083,-0.970441682,2.492254629,-1.584879944,45
OSZUGFVVDWLSBH-UHFFFAOYSA-N,CCCCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-2.761892022,506.2530618,410.56,134,-0.098369197,-0.119636456,-0.021267259,0.332939529,0.311349585,-0.021589944,3.883435064,4.583805736,-0.285457838,0.282368584,0.004218584,0.285667838,774.8851041,-1.189359071,-2.808331891,-0.607300345,0.72063152,-2.710501851,64
OTLNPYWUJOZPPA-UHFFFAOYSA-N,c1cc(ccc1C(=O)O)[N+](=O)[O-],-0.860124642,123.7165945,167.121,242,-0.105803987,-0.117651648,-0.011847661,-0.034521015,-0.045797598,-0.011276583,3.315600317,4.199986543,-0.404318243,0.201862723,-0.076287277,0.404528243,329.3384919,-2.039545677,0.077022197,-0.545409405,0.837427224,-1.202118453,17
OVBPIULPVIDEAO-LBPRGKRZSA-N,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc1cnc2c(c(=O)nc(N)[nH]2)n1,-2.921360783,363.0448921,441.403,250,-0.275808902,-0.323115849,-0.047306947,0.012855787,-0.037572931,-0.050428718,6.098048223,10.99092114,-0.326394912,0.22440447,-0.05374553,0.326604912,708.2000563,-3.374346812,1.855740929,-0.687626191,0.695090089,-6.350928405,51
OWEKLAQTSKJVEG-UHFFFAOYSA-N,CCOC(=O)NC(C)(C(=O)O)NC(=O)OCC,0.626228979,238.5907558,248.236,134,-0.454095206,-0.47127541,-0.017180204,-0.267776697,-0.287546777,-0.01977008,2.968587285,4.009114144,-0.388479596,0.268515927,-0.009634073,0.388689596,476.8129118,-3.165290087,1.015139089,-0.603073915,0.749893896,-4.301544148,33
OZHJEQVYCBTHJT-UHFFFAOYSA-N,Cc1c(c(c(c(c1Br)Br)Br)Br)Br,-3.670157508,105.6758003,486.621,284.5,0.060620833,0.049365277,-0.011255556,0.088391,0.075116,-0.013275,2.6034,3.2745,-0.36449,0.23011,-0.04804,0.3647,392.0617493,0,-0.4715898,-0.514952,0.197611,-0.11296,15
