StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
IOAOAKDONABGPZ-UHFFFAOYSA-N,CCC(CO)(CO)N,0.901578533,119.1632,37.5,110.546,-403.5528748,-403.5648292,-0.011954468,-403.399023,-403.411282,-0.012259,2.1431,2.9726,-0.25787,-0.01296,0.30631,0.28279,297.8701172,-1.61304,-1.38439,-0.94673,0.51374,-2.55977,21
IOCMJUXJUBZFSJ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)CCCN1CCC(CC1)(c1ccccc1)O,-2.682,323.434,129.75,262.672,-1020.514349,-1020.52891,-0.01456173,-1020.148737,-1020.162148,-0.013411,3.1258,4.0298,-0.21462,-0.06479,0.25448,0.23954,605.3733521,-1.40715,-4.54374,-0.79237,0.58897,-1.96642,49
IOFIPYBBWBJZHS-UHFFFAOYSA-N,CC(C)(C)c1ccc(cc1)C(=O)NN(C)C,-2.408935646,220.315,143.5,161.491,-692.1629574,-692.1779764,-0.015018934,-691.894914,-691.910056,-0.015142,4.3031,6.8321,-0.23797,-0.04389,0.27538,0.26289,481.9613953,-0.68701,-3.48095,-0.68701,0.67763,-1.53017,36
IOFJWHCIWURTCZ-UHFFFAOYSA-N,CC(C)(C)C(=O)OCn1cnc2c(cn(COC(=O)C(C)(C)C)n2)c1=O,-3.91,364.4004,,301.223,-1257.467798,-1257.492083,-0.02428476,-1257.117673,-1257.141882,-0.024209,2.6239,3.33,-0.25212,-0.05972,0.25955,0.27704,654.0374146,-3.03532,-1.48483,-0.67525,0.85943,-4.55767,50
IOHJQSFEAYDZGF-UHFFFAOYSA-N,CCCCCCCCCCCCC1CO1,-5.984684801,212.3746,,217.17,-625.5800894,-625.5854155,-0.005326138,-625.232221,-625.238605,-0.006384,2.0494,2.802,-0.27318,0.01029,0.32956,0.2981,564.9453125,-0.60231,-5.91128,-0.68819,0.25186,-0.60231,43
IOJAESFEVURKSE-UHFFFAOYSA-N,CCCNc1c(cc(cc1N(=O)=O)S(=O)(=O)N)N(=O)=O,-4.422579849,304.283,179.5,212.796,-1418.493949,-1418.516739,-0.02279019,-1418.310391,-1418.333772,-0.023381,2.66,4.0826,-0.263,-0.1317,0.18757,0.28792,491.4546509,-3.55569,-1.77249,-1.12074,2.3013,-1.93608,32
IOJUPLGTWVMSFF-UHFFFAOYSA-N,c1ccc2c(c1)ncs2,-1.653826526,135.1832,68.15,96.016,-722.7129427,-722.7190006,-0.006057883,-722.641275,-722.647362,-0.006087,1.41,2.1144,-0.24677,-0.0494,0.26987,0.27169,290.2168884,0,-1.24175,-0.47768,0.41383,-0.06385,14
IOMMMLWIABWRKL-WUTDNEBXSA-N,Cc1cc(ccn1)C(=O)Nc1nc2cccc(c2n1C1CCCCN(C1)C(=O)C=CCN(C)C)Cl,-3.232228257,495.024,114.6,286.178,-1948.644387,-1948.672964,-0.02857701,-1948.168347,-1948.196027,-0.02768,5.5799,10.8424,-0.22454,-0.08537,0.2339,0.24946,797.5414429,-1.34971,-3.49758,-0.71458,0.69728,-4.44025,66
IOOIOUOLXVONAC-UHFFFAOYSA-N,COS(=O)(=O)c1ccc(cc1)C(=O)O,-3.049328511,216.2082,212.5,128.711,-1083.935612,-1083.955828,-0.02021603,-1083.820584,-1083.841874,-0.02129,4.5997,6.1905,-0.29891,-0.09707,0.2222,0.32383,390.7177734,-3.97876,-0.77855,-0.94723,2.37998,-1.59878,22
IOQIWWTVXOPYQR-APPZFPTMSA-N,CC(C(C(=O)O)NC(=O)c1ccccc1)O,-1.034883393,223.229,145.75,146.71,-782.7068303,-782.7234732,-0.016642885,-782.519261,-782.53583,-0.016569,1.2733,1.9726,-0.26416,-0.05509,0.26418,0.28908,440.3101807,-2.838,-0.60951,-0.80397,0.82916,-3.49008,29
IOQIWWTVXOPYQR-CBAPKCEASA-N,CC(C(C(=O)O)NC(=O)c1ccccc1)O,-1.419331688,223.229,176.5,168.227,-782.7068303,-782.7234732,-0.016642885,-782.51926,-782.53583,-0.01657,1.2733,1.9726,-0.26416,-0.05509,0.26418,0.28908,440.3101807,-2.838,-0.60951,-0.80397,0.82916,-3.49008,29
IOQOLGUXWSBWHR-UHFFFAOYSA-N,Cc1ccc(cc1)N1C(=O)CC(=N1)C,-2.365667988,188.2286,137.5,128.792,-611.1418082,-611.1528452,-0.011036954,-610.970139,-610.979596,-0.009457,3.2195,4.3238,-0.21572,-0.04356,0.27571,0.24064,407.9963684,-0.65383,-1.9554,-0.72591,0.68852,-1.2394,26
IOQPZZOEVPZRBK-UHFFFAOYSA-N,CCCCCCCCN,-2.75,129.2448,-0.2475,150.99,-371.0673738,-371.072679,-0.005305198,-370.841955,-370.847814,-0.005859,1.3941,1.9656,-0.23949,0.00313,0.3224,0.26441,397.0042419,0,-3.75797,-0.95326,0.4023,-0.95326,28
IOQZSOCPFYNJIG-UHFFFAOYSA-N,c1ccc2c(c1)c(c1c(cccc1[N+](=O)[O-])n2)N,-1.839,239.233,,141.721,-815.4496707,-815.4622055,-0.012534813,-815.287851,-815.300977,-0.013126,2.3505,2.7886,-0.21906,-0.11583,0.20344,0.24398,415.4508057,-0.82767,-1.06585,-0.81298,0.50937,-1.62898,27
IOSAAWHGJUZBOG-UHFFFAOYSA-N,CCCCCCC(C(C)O)n1cnc2c(N)ncnc12,-2.25,277.3686,,232.647,-896.3897868,-896.4062102,-0.016423326,-896.069862,-896.08599,-0.016128,1.0753,1.784,-0.22926,-0.03392,0.28535,0.25418,554.8225708,-0.78889,-2.51519,-0.82619,0.50791,-3.68041,43
