Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'C_charges']",ET,0.726432456,0.560522448,88.29787234,79.78723404
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'O_charges']",ET,0.728947696,0.561830985,89.36170213,75.53191489
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'SASA']",ET,0.726508785,0.559589755,91.4893617,75.53191489
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'LsolvHsolu']",ET,0.733157351,0.555500004,89.36170213,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'LsoluHsolv']",ET,0.724440043,0.564316747,88.29787234,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'solv_dip']",ET,0.719800541,0.567740402,89.36170213,75.53191489
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['G_solv', 'Het_charges']",ET,0.727888635,0.56533898,87.23404255,78.72340426
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['G_solv', 'Most_pos']",ET,0.735962717,0.556382177,90.42553191,76.59574468
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['G_solv', 'Most_neg']",ET,0.737330276,0.553212684,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'C_charges']",ET,0.741676746,0.550995564,88.29787234,78.72340426
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'O_charges']",ET,0.741528802,0.551664848,89.36170213,76.59574468
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'SASA']",ET,0.73403558,0.556855719,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'LsolvHsolu']",ET,0.739175062,0.554222756,91.4893617,78.72340426
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'LsoluHsolv']",ET,0.721108118,0.569808888,88.29787234,76.59574468
"['MW', 'MP', 'Volume', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'solv_dip']",ET,0.738239854,0.554018817,87.23404255,79.78723404
"['MW', 'MP', 'Volume', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['G_solv', 'DeltaG_sol']",ET,0.74352008,0.547059569,91.4893617,77.65957447
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['Volume', 'Het_charges']",ET,0.72687503,0.563640795,89.36170213,77.65957447
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['Volume', 'Most_pos']",ET,0.734186904,0.554832613,91.4893617,77.65957447
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['Volume', 'Most_neg']",ET,0.738684198,0.550006614,91.4893617,76.59574468
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'C_charges']",ET,0.728212044,0.560707369,89.36170213,77.65957447
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'O_charges']",ET,0.732033779,0.559141136,91.4893617,79.78723404
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'SASA']",ET,0.733881416,0.553675393,91.4893617,76.59574468
